action_count,bot_fingerprint_score,click_intervals_count,click_timestamps_count,click_timestamps_max,click_timestamps_mean,click_timestamps_min,cursorAngleVariance,cursor_acceleration_count,cursor_acceleration_max,cursor_acceleration_mean,cursor_acceleration_std,cursor_curvature_count,cursor_curvature_max,cursor_curvature_mean,cursor_curvature_min,cursor_curvature_std,cursor_movement_entropy,cursor_movements_count,cursor_movements_mean_distance,cursor_movements_total_distance,cursor_speeds_count,cursor_speeds_max,cursor_speeds_mean,cursor_speeds_min,cursor_speeds_std,hesitation_count,hesitation_mean,hesitation_min,idle_time,is_automated_browser,key_hold_times_count,key_press_times_count,keyboard_patterns_count,keyboard_patterns_max,keyboard_patterns_mean,keyboard_patterns_min,label,micropause_count,micropause_min,mouseJitter_count,mouse_angle_entropy,mouse_movement_debug_currentSpeed,mouse_movement_debug_distance,mouse_movement_debug_dx,mouse_movement_debug_dy,mouse_num_pauses,paste_detected,scroll_changes,scroll_speed_mean,scroll_speed_std,scroll_speeds_count,scroll_speeds_mean,scroll_speeds_std,speed_calculation_debug_filteredSpeed,speed_calculation_debug_latestSpeed,speed_calculation_debug_rawSpeed,typing_interval_entropy
115,0.5,0,1,1749716151632.0,1749716151632.0,1749716151632.0,,14,17.33347209329138,7.569028951719495,5.770714788402203,2,0.8872262214710404,0.5808393322065597,0.27445244294207893,0.3063868892644807,2.0982737395252498,13,19.411981668048206,232.94378001657847,14,908.7906710714129,474.6911802047927,14.443342594330113,301.671704541849,0,0.0,0.0,0,False,10,9,10,1749716154861.0,1749716153786.2,1749716152995.0,1,0,0.0,0,1.1622357949422746,22.072513861973363,6.0,6,0,2.0,False,0,,,0,0.0,0.0,22.072513861973363,22.072513861973363,22.072513861973363,1.7334762621259303
139,0.5,0,1,1749716158449.0,1749716158449.0,1749716158449.0,,18,14.083990045731298,5.999741132818583,3.920766903979524,3,1.487778376764489,1.0695024189249958,0.4231878266036747,0.46356551064200824,2.149607084697563,15,13.91767812372463,194.8474937321448,18,709.3495082422846,358.05084866396555,12.226169490994426,210.4476613175328,0,0.0,0.0,0,False,13,12,13,1749716163409.0,1749716161113.077,1749716159239.0,1,0,0.0,0,1.2048059843433636,333.2731142278926,18.110770276274835,18,2,1.0,False,0,,,0,0.0,0.0,333.2731142278926,333.2731142278926,333.2731142278926,1.54625563260838
84,0.5,0,1,1749716167460.0,1749716167460.0,1749716167460.0,,12,14.631954427163162,4.65451401097098,4.1065634258890915,2,0.8228656618495259,0.665645935483512,0.5084262091174983,0.15721972636601383,2.187270992063101,10,23.0380287896863,207.34225910717672,12,770.2415574126386,276.0080395231173,35.83786239177773,195.52800261782247,0,0.0,0.0,0,False,14,13,14,1749716173348.0,1749716171334.6428,1749716169655.0,1,0,0.0,0,1.494182113916221,83.4441423736852,8.54400374531753,8,-3,1.0,False,0,,,0,0.0,0.0,83.4441423736852,83.4441423736852,83.4441423736852,1.135827550005505
79,0.5,0,1,1749716177272.0,1749716177272.0,1749716177272.0,,13,18.801567211902533,5.149262838355751,5.384237685514242,1,0.6434066536367623,0.6434066536367623,0.6434066536367623,0.0,2.1137191065066494,13,18.97984899469488,227.75818793633857,13,940.321941138404,309.5531962828455,21.303099174974943,250.03284401314409,0,0.0,0.0,0,False,10,8,9,1749716181427.0,1749716180018.5557,1749716177820.0,1,0,0.0,0,1.893790361582605,21.303099174974943,11.40175425099138,7,-9,1.0,False,0,,,0,0.0,0.0,21.303099174974943,21.303099174974943,21.303099174974943,0.8171645608611064
8,0.0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,True,8,7,8,1749716206737.0,1749716206137.875,1749716205538.0,0,0,0.0,0,,0.0,0.0,0,0,,False,0,,,0,0.0,0.0,0.0,0.0,0.0,1.3297282393727297
9,0.0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,True,9,8,9,1749716307555.0,1749716306870.7778,1749716306175.0,0,0,0.0,0,,0.0,0.0,0,0,,False,0,,,0,0.0,0.0,0.0,0.0,0.0,0.7965490569008027
82,0.1,0,1,1749716336682.0,1749716336682.0,1749716336682.0,,21,4.59137607109945,2.6152969880054564,0.945754020222072,4,0.4266269414087618,0.33817866453756396,0.25267620614683384,0.06181778652725364,2.195622123730596,22,7.886045396769681,165.6069533321633,21,238.36006034641844,147.82740442784763,98.34916604345943,39.43921170492573,0,0.0,0.0,0,True,10,9,10,1749716339906.0,1749716338777.0,1749716337611.0,0,0,0.0,0,1.77858662595446,238.36006034641844,12.041594578792296,8,-9,1.0,False,0,,,0,0.0,0.0,238.36006034641844,238.36006034641844,238.36006034641844,1.9063856466718543
9,0.5,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,False,14,8,9,1749716375939.0,1749716375015.111,1749716374113.0,0,0,0.0,0,,0.0,0.0,0,0,,False,0,,,0,0.0,0.0,0.0,0.0,0.0,1.945986610972755
119,0.5,0,1,1749725793191.0,1749725793191.0,1749725793191.0,,14,4.840899874769882,2.2992485899813784,1.5646700551428212,2,1.2358824219213902,1.2344663455525788,1.2330502691837673,0.00141607636881147,1.9466722012149666,12,17.84347493765205,196.27822431417255,14,1462.708805899779,239.571105978367,10.250053680739837,348.44242909329057,0,0.0,0.0,0,False,11,9,10,1749725798848.0,1749725797339.2,1749725795085.0,0,0,0.0,0,1.6957484646313872,10.250053680739837,12.806248474865697,8,-10,1.0,False,0,,,0,0.0,0.0,10.250053680739837,10.250053680739837,10.250053680739837,1.7365063849435434
175,0.5,0,1,1749725821699.0,1749725821699.0,1749725821699.0,,29,7.059273173936846,2.186856460477258,1.9691223835768579,3,1.1655649106916768,0.9096077144581877,0.5361934081776338,0.2700299385496013,2.1400896749459624,18,13.04339630084703,221.73773711439952,29,490.9090733268476,140.2577707884446,14.975532360738324,122.14041661240852,0,0.0,0.0,0,False,16,15,16,1749725830284.0,1749725827696.375,1749725825461.0,1,0,0.0,0,1.5481237976485418,14.975532360738324,11.180339887498949,10,5,1.0,False,0,,,0,0.0,0.0,14.975532360738324,14.975532360738324,14.975532360738324,1.1147505717029653
